,,,,,,,GEOMETRY no.,,FROM PUBLIC HEALTH ENGLAND DATASET,TOTAL BOROUGHS,,,,
OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,,NAME_2,,,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
1,242,GBR,United Kingdom,1,England,1,0,Barking and Dagenham,Barking and Dagenham,Barking and Dagenham,London Borough,London Borough,NA,NA
2,242,GBR,United Kingdom,1,England,2,1,Bath and North East Somerset,Barnet,Bath and North East Somerset,Unitary Authority,Unitary Authority,NA,NA
3,242,GBR,United Kingdom,1,England,3,2,Bedfordshire,Barnsley,"Bedford, Central Bedfordshire",Administrative County,Administrative County,NA,NA
4,242,GBR,United Kingdom,1,England,4,3,Berkshire,Bath and North East Somerset,West Berkshire,County,County,NA,NA
5,242,GBR,United Kingdom,1,England,5,4,Bexley,Bedford,Bexley,London Borough,London Borough,NA,NA
6,242,GBR,United Kingdom,1,England,6,5,Blackburn with Darwen,Bexley,Blackburn with Darwen,Unitary Authority,Unitary Authority,NA,"Blackburn, Blackburn and Darwen"
7,242,GBR,United Kingdom,1,England,7,6,Bournemouth,Birmingham,Bournemouth,Unitary Authority,Unitary Authority,NA,NA
8,242,GBR,United Kingdom,1,England,8,7,Brent,Blackburn with Darwen,Brent,London Borough,London Borough,NA,NA
9,242,GBR,United Kingdom,1,England,9,8,Brighton and Hove,Blackpool,Brighton and Hove,Unitary Authority,Unitary Authority,NA,NA
10,242,GBR,United Kingdom,1,England,10,9,Bristol,Bolton,"Bristol, City of",Unitary Authority (city),Unitary Authority (city),NA,NA
11,242,GBR,United Kingdom,1,England,11,10,Bromley,"Bournemouth, Christchurch and Poole",Bromley,London Borough,London Borough,NA,NA
12,242,GBR,United Kingdom,1,England,12,11,Buckinghamshire,Bracknell Forest,Buckinghamshire,Administrative County,Administrative County,NA,NA
13,242,GBR,United Kingdom,1,England,13,12,Cambridgeshire,Bradford,Cambridgeshire,Administrative County,Administrative County,NA,NA
14,242,GBR,United Kingdom,1,England,14,13,Camden,Brent,Camden,London Borough,London Borough,NA,NA
15,242,GBR,United Kingdom,1,England,15,14,Cheshire,Brighton and Hove,"Cheshire East, Cheshire West and Chester",Administrative County,Administrative County,NA,NA
16,242,GBR,United Kingdom,1,England,16,15,Cornwall,"Bristol, City of",Cornwall and Isles of Scilly,Administrative County,Administrative County,NA,Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly
17,242,GBR,United Kingdom,1,England,17,16,Croydon,Bromley,Croydon,London Borough,London Borough,NA,NA
18,242,GBR,United Kingdom,1,England,18,17,Cumbria,Buckinghamshire,Cumbria,Administrative County,Administrative County,NA,NA
19,242,GBR,United Kingdom,1,England,19,18,Darlington,Bury,Darlington,Unitary Authority,Unitary Authority,NA,NA
20,242,GBR,United Kingdom,1,England,20,19,Derbyshire,Calderdale,Derbyshire,Administrative County,Administrative County,NA,NA
21,242,GBR,United Kingdom,1,England,21,20,Derby,Cambridgeshire,Derby,Unitary Authority (city),Unitary Authority (city),NA,NA
22,242,GBR,United Kingdom,1,England,22,21,Devon,Camden,Devon,Administrative County,Administrative County,NA,NA
23,242,GBR,United Kingdom,1,England,23,22,Dorset,Central Bedfordshire,Dorset,Administrative County,Administrative County,NA,NA
24,242,GBR,United Kingdom,1,England,24,23,Durham,Cheshire East,County Durham,Administrative County,Administrative County,NA,County Durham
25,242,GBR,United Kingdom,1,England,25,24,Ealing,Cheshire West and Chester,Ealing,London Borough,London Borough,NA,NA
26,242,GBR,United Kingdom,1,England,26,25,East Riding of Yorkshire,City of London,East Riding of Yorkshire,Unitary Authority,Unitary Authority,NA,"East Riding, East Yorkshire"
27,242,GBR,United Kingdom,1,England,27,26,East Sussex,Cornwall and Isles of Scilly,East Sussex,Administrative County,Administrative County,NA,NA
28,242,GBR,United Kingdom,1,England,28,27,Enfield,County Durham,Enfield,London Borough,London Borough,NA,NA
29,242,GBR,United Kingdom,1,England,29,28,Essex,Coventry,Essex,Administrative County,Administrative County,NA,NA
30,242,GBR,United Kingdom,1,England,30,29,Gloucestershire,Croydon,Gloucestershire,Administrative County,Administrative County,NA,NA
31,242,GBR,United Kingdom,1,England,31,30,Greenwich,Cumbria,Greenwich,London Borough,London Borough,NA,NA
32,242,GBR,United Kingdom,1,England,32,31,Hackney,Darlington,Hackney,London Borough,London Borough,NA,NA
33,242,GBR,United Kingdom,1,England,33,32,Halton,Derby,Halton,Unitary Authority,Unitary Authority,NA,NA
34,242,GBR,United Kingdom,1,England,34,33,Hammersmith and Fulham,Derbyshire,Hammersmith and Fulham,London Borough,London Borough,NA,NA
35,242,GBR,United Kingdom,1,England,35,34,Hampshire,Devon,Hampshire,Administrative County,Administrative County,NA,Southampton
36,242,GBR,United Kingdom,1,England,36,35,Haringey,Doncaster,Haringey,London Borough,London Borough,NA,NA
37,242,GBR,United Kingdom,1,England,37,36,Harrow,Dorset,Harrow,London Borough,London Borough,NA,NA
38,242,GBR,United Kingdom,1,England,38,37,Hartlepool,Dudley,Hartlepool,Unitary Authority,Unitary Authority,NA,NA
39,242,GBR,United Kingdom,1,England,39,38,Havering,Ealing,Havering,London Borough,London Borough,NA,NA
40,242,GBR,United Kingdom,1,England,40,39,Herefordshire,East Midlands,"Herefordshire, County of",Unitary Authority (county),Unitary Authority (county),NA,NA
41,242,GBR,United Kingdom,1,England,41,40,Hertfordshire,East of England,Hertfordshire,Administrative County,Administrative County,NA,NA
42,242,GBR,United Kingdom,1,England,42,41,Hillingdon,East Riding of Yorkshire,Hillingdon,London Borough,London Borough,NA,NA
43,242,GBR,United Kingdom,1,England,43,42,Hounslow,East Sussex,Hounslow,London Borough,London Borough,NA,NA
44,242,GBR,United Kingdom,1,England,44,43,Isle of Wight,Enfield,Isle of Wight,Unitary Authority,Unitary Authority,NA,NA
45,242,GBR,United Kingdom,1,England,45,44,Islington,England,Islington,London Borough,London Borough,NA,NA
46,242,GBR,United Kingdom,1,England,46,45,Kensington and Chelsea,Essex,Kensington and Chelsea,London Borough (royal),London Borough (royal),NA,NA
47,242,GBR,United Kingdom,1,England,47,46,Kent,Gateshead,Kent,Administrative County,Administrative County,NA,NA
48,242,GBR,United Kingdom,1,England,48,47,Kingston upon Hull,Gloucestershire,"Kingston upon Hull, City of",Unitary Authority (city),Unitary Authority (city),NA,Hull
49,242,GBR,United Kingdom,1,England,49,48,Kingston upon Thames,Greenwich,Kingston upon Thames,London Borough (royal),London Borough (royal),NA,NA
50,242,GBR,United Kingdom,1,England,50,49,Lambeth,Hackney,Lambeth,London Borough,London Borough,NA,NA
51,242,GBR,United Kingdom,1,England,51,50,Lancashire,Halton,Lancashire,Administrative County,Administrative County,NA,NA
52,242,GBR,United Kingdom,1,England,52,51,Leicestershire,Hammersmith and Fulham,Leicestershire,Administrative County,Administrative County,NA,NA
53,242,GBR,United Kingdom,1,England,53,52,Leicester,Hampshire,Leicester,Unitary Authority (city),Unitary Authority (city),NA,NA
54,242,GBR,United Kingdom,1,England,54,53,Lewisham,Haringey,Lewisham,London Borough,London Borough,NA,NA
55,242,GBR,United Kingdom,1,England,55,54,Lincolnshire,Harrow,Lincolnshire,Administrative County,Administrative County,NA,NA
56,242,GBR,United Kingdom,1,England,56,55,London,Hartlepool,London,London Borough (city),London Borough (city),NA,NA
57,242,GBR,United Kingdom,1,England,57,56,Luton,Havering,Luton,Unitary Authority,Unitary Authority,NA,NA
58,242,GBR,United Kingdom,1,England,58,57,Manchester,"Herefordshire, County of",Manchester,Metropolitan Borough (city),Metropolitan Borough (city),NA,NA
59,242,GBR,United Kingdom,1,England,59,58,Medway,Hertfordshire,Medway,Unitary Authority,Unitary Authority,NA,Medway Towns
60,242,GBR,United Kingdom,1,England,60,59,Merseyside,Hillingdon,Liverpool,Metropolitan County,Metropolitan County,NA,NA
61,242,GBR,United Kingdom,1,England,61,60,Merton,Hounslow,Merton,London Borough,London Borough,NA,NA
62,242,GBR,United Kingdom,1,England,62,61,Middlesbrough,Isle of Wight,Middlesbrough,Unitary Authority,Unitary Authority,NA,NA
63,242,GBR,United Kingdom,1,England,63,62,Milton Keynes,Islington,Milton Keynes,Unitary Authority,Unitary Authority,NA,NA
64,242,GBR,United Kingdom,1,England,64,63,Newham,Kensington and Chelsea,Newham,London Borough,London Borough,NA,NA
65,242,GBR,United Kingdom,1,England,65,64,Norfolk,Kent,Norfolk,Administrative County,Administrative County,NA,NA
66,242,GBR,United Kingdom,1,England,66,65,North East Lincolnshire,"Kingston upon Hull, City of",North East Lincolnshire,Unitary Authority,Unitary Authority,NA,NA
67,242,GBR,United Kingdom,1,England,67,66,North Lincolnshire,Kingston upon Thames,North Lincolnshire,Unitary Authority,Unitary Authority,NA,NA
68,242,GBR,United Kingdom,1,England,68,67,North Somerset,Kirklees,North Somerset,Unitary Authority,Unitary Authority,NA,North West Somerset
69,242,GBR,United Kingdom,1,England,69,68,North Yorkshire,Knowsley,North Yorkshire,Administrative County,Administrative County,NA,NA
70,242,GBR,United Kingdom,1,England,70,69,Northamptonshire,Lambeth,Northamptonshire,Administrative County,Administrative County,NA,NA
71,242,GBR,United Kingdom,1,England,71,70,Northumberland,Lancashire,Northumberland,Administrative County,Administrative County,NA,NA
72,242,GBR,United Kingdom,1,England,72,71,Nottinghamshire,Leeds,Nottinghamshire,Administrative County,Administrative County,NA,NA
73,242,GBR,United Kingdom,1,England,73,72,Nottingham,Leicester,Nottingham,Unitary Authority (city),Unitary Authority (city),NA,NA
74,242,GBR,United Kingdom,1,England,74,73,Oxfordshire,Leicestershire,Oxfordshire,Administrative County,Administrative County,NA,NA
75,242,GBR,United Kingdom,1,England,75,74,Peterborough,Lewisham,Peterborough,Unitary Authority,Unitary Authority,NA,NA
76,242,GBR,United Kingdom,1,England,76,75,Plymouth,Lincolnshire,Plymouth,Unitary Authority (city),Unitary Authority (city),NA,NA
77,242,GBR,United Kingdom,1,England,77,76,Poole,Liverpool,Christchurch and Poole,Unitary Authority,Unitary Authority,NA,NA
78,242,GBR,United Kingdom,1,England,78,77,Portsmouth,London,Portsmouth,Unitary Authority (city),Unitary Authority (city),NA,NA
79,242,GBR,United Kingdom,1,England,79,78,Redbridge,Luton,Redbridge,London Borough,London Borough,NA,NA
80,242,GBR,United Kingdom,1,England,80,79,Redcar and Cleveland,Manchester,Redcar and Cleveland,Unitary Authority,Unitary Authority,NA,NA
81,242,GBR,United Kingdom,1,England,81,80,Richmond upon Thames,Medway,Richmond upon Thames,London Borough,London Borough,NA,NA
82,242,GBR,United Kingdom,1,England,82,81,Rutland,Merton,Rutland,Unitary Authority,Unitary Authority,NA,NA
83,242,GBR,United Kingdom,1,England,83,82,Shropshire,Middlesbrough,Shropshire,Administrative County,Administrative County,NA,Salop
84,242,GBR,United Kingdom,1,England,84,83,Somerset,Milton Keynes,Somerset,Administrative County,Administrative County,NA,NA
85,242,GBR,United Kingdom,1,England,85,84,South Gloucestershire,Newcastle upon Tyne,South Gloucestershire,Unitary Authority,Unitary Authority,NA,NA
86,242,GBR,United Kingdom,1,England,86,85,South Yorkshire,Newham,Yorkshire and The Humber,Metropolitan County,Metropolitan County,NA,NA
87,242,GBR,United Kingdom,1,England,87,86,Southampton,Norfolk,Southampton,Unitary Authority (city),Unitary Authority (city),NA,NA
88,242,GBR,United Kingdom,1,England,88,87,Southend-on-Sea,North East,Southend-on-Sea,Unitary Authority,Unitary Authority,NA,Southend
89,242,GBR,United Kingdom,1,England,89,,Southwark,North East Lincolnshire,,London Borough,London Borough,NA,NA
90,242,GBR,United Kingdom,1,England,90,,Staffordshire,North Lincolnshire,,Administrative County,Administrative County,NA,NA
91,242,GBR,United Kingdom,1,England,91,,Stockton-on-Tees,North Somerset,,Unitary Authority,Unitary Authority,NA,Stockton
92,242,GBR,United Kingdom,1,England,92,,Stoke-on-Trent,North Tyneside,,Unitary Authority (city),Unitary Authority (city),NA,NA
93,242,GBR,United Kingdom,1,England,93,,Suffolk,North West,,Administrative County,Administrative County,NA,NA
94,242,GBR,United Kingdom,1,England,94,,Surrey,North Yorkshire,,Administrative County,Administrative County,NA,NA
95,242,GBR,United Kingdom,1,England,95,,Sutton,Northamptonshire,,London Borough,London Borough,NA,NA
96,242,GBR,United Kingdom,1,England,96,,Swindon,Northumberland,,Unitary Authority,Unitary Authority,NA,Thamesdown
97,242,GBR,United Kingdom,1,England,97,,Telford and Wrekin,Nottingham,,Unitary Authority,Unitary Authority,NA,"The Wrekin, Wrekin"
98,242,GBR,United Kingdom,1,England,98,,Thurrock,Nottinghamshire,,Unitary Authority,Unitary Authority,NA,NA
99,242,GBR,United Kingdom,1,England,99,,Torbay,Oldham,,Unitary Authority,Unitary Authority,NA,NA
100,242,GBR,United Kingdom,1,England,100,,Tower Hamlets,Oxfordshire,,London Borough,London Borough,NA,NA
101,242,GBR,United Kingdom,1,England,101,,Tyne and Wear,Peterborough,,Metropolitan County,Metropolitan County,NA,NA
102,242,GBR,United Kingdom,1,England,102,,Waltham Forest,Plymouth,,London Borough,London Borough,NA,NA
103,242,GBR,United Kingdom,1,England,103,,Wandsworth,Portsmouth,,London Borough,London Borough,NA,NA
104,242,GBR,United Kingdom,1,England,104,,Warrington,Reading,,Unitary Authority,Unitary Authority,NA,NA
105,242,GBR,United Kingdom,1,England,105,,Warwickshire,Redbridge,,Administrative County,Administrative County,NA,NA
106,242,GBR,United Kingdom,1,England,106,,West Midlands,Redcar and Cleveland,,Metropolitan County,Metropolitan County,NA,NA
107,242,GBR,United Kingdom,1,England,107,,West Sussex,Richmond upon Thames,,Administrative County,Administrative County,NA,NA
108,242,GBR,United Kingdom,1,England,108,107,West Yorkshire,Rochdale,Yorkshire and The Humber,Metropolitan County,Metropolitan County,NA,NA
109,242,GBR,United Kingdom,1,England,109,,Westminster,Rotherham,,London Borough (city),London Borough (city),NA,NA
110,242,GBR,United Kingdom,1,England,110,,Wiltshire,Rutland,,Administrative County,Administrative County,NA,NA
111,242,GBR,United Kingdom,1,England,111,,Worcestershire,Salford,,Administrative County,Administrative County,NA,NA
112,242,GBR,United Kingdom,1,England,112,,York,Sandwell,,Unitary Authority (city),Unitary Authority (city),NA,NA
113,242,GBR,United Kingdom,2,Northern Ireland,113,,Antrim,Sefton,,District,District,NA,NA
114,242,GBR,United Kingdom,2,Northern Ireland,114,,Ards,Sheffield,,District,District,NA,NA
115,242,GBR,United Kingdom,2,Northern Ireland,115,,Armagh,Shropshire,,District,District,NA,NA
116,242,GBR,United Kingdom,2,Northern Ireland,116,,Ballymena,Slough,,District,District,NA,NA
117,242,GBR,United Kingdom,2,Northern Ireland,117,,Ballymoney,Solihull,,District,District,NA,NA
118,242,GBR,United Kingdom,2,Northern Ireland,118,,Banbridge,Somerset,,District,District,NA,NA
119,242,GBR,United Kingdom,2,Northern Ireland,119,,Belfast,South East,,District,District,NA,NA
120,242,GBR,United Kingdom,2,Northern Ireland,120,,Carrickfergus,South Gloucestershire,,District,District,NA,NA
121,242,GBR,United Kingdom,2,Northern Ireland,121,,Castlereagh,South Tyneside,,District,District,NA,NA
122,242,GBR,United Kingdom,2,Northern Ireland,122,,Coleraine,South West,,District,District,NA,NA
123,242,GBR,United Kingdom,2,Northern Ireland,123,,Cookstown,Southampton,,District,District,NA,NA
124,242,GBR,United Kingdom,2,Northern Ireland,124,,Craigavon,Southend-on-Sea,,District,District,NA,NA
125,242,GBR,United Kingdom,2,Northern Ireland,125,,Derry,Southwark,,District,London Borough (city),NA,Londonderry
126,242,GBR,United Kingdom,2,Northern Ireland,126,,Down,St. Helens,,District,District,NA,NA
127,242,GBR,United Kingdom,2,Northern Ireland,127,,Dungannon,Staffordshire,,District,District,NA,NA
128,242,GBR,United Kingdom,2,Northern Ireland,128,,Fermanagh,Stockport,,District,District,NA,NA
129,242,GBR,United Kingdom,2,Northern Ireland,129,,Larne,Stockton-on-Tees,,District,District,NA,NA
130,242,GBR,United Kingdom,2,Northern Ireland,130,,Limavady,Stoke-on-Trent,,District,District,NA,NA
131,242,GBR,United Kingdom,2,Northern Ireland,131,,Lisburn,Suffolk,,District,District,NA,NA
132,242,GBR,United Kingdom,2,Northern Ireland,132,,Magherafelt,Sunderland,,District,District,NA,NA
133,242,GBR,United Kingdom,2,Northern Ireland,133,,Moyle,Surrey,,District,District,NA,NA
134,242,GBR,United Kingdom,2,Northern Ireland,134,,Newry and Mourne,Sutton,,District,District,NA,Mourne
135,242,GBR,United Kingdom,2,Northern Ireland,135,,Newtownabbey,Swindon,,District,District,NA,NA
136,242,GBR,United Kingdom,2,Northern Ireland,136,,North Down,Tameside,,District,District,NA,NA
137,242,GBR,United Kingdom,2,Northern Ireland,137,,Omagh,Telford and Wrekin,,District,District,NA,NA
138,242,GBR,United Kingdom,2,Northern Ireland,138,,Strabane,Thurrock,,District,District,NA,NA
139,242,GBR,United Kingdom,3,Scotland,139,,Aberdeenshire,Torbay,,Unitary District,Unitary District,NA,NA
140,242,GBR,United Kingdom,3,Scotland,140,,Aberdeen,Tower Hamlets,,Unitary District (city),Unitary District (city),NA,Aberdeen City
141,242,GBR,United Kingdom,3,Scotland,141,,Angus,Trafford,,Unitary District,Unitary District,NA,Forfar
142,242,GBR,United Kingdom,3,Scotland,142,,Argyll and Bute,Wakefield,,Unitary District,Unitary District,NA,Earra-Ghaidheal agus Bòd
143,242,GBR,United Kingdom,3,Scotland,143,,Clackmannanshire,Walsall,,Unitary District,Unitary District,NA,NA
144,242,GBR,United Kingdom,3,Scotland,144,,Dumfries and Galloway,Waltham Forest,,Unitary District,Unitary District,NA,NA
145,242,GBR,United Kingdom,3,Scotland,145,,Dundee,Wandsworth,,Unitary District (city),Unitary District (city),NA,Dundee City
146,242,GBR,United Kingdom,3,Scotland,146,,East Ayrshire,Warrington,,Unitary District,Unitary District,NA,NA
147,242,GBR,United Kingdom,3,Scotland,147,,East Dunbartonshire,Warwickshire,,Unitary District,Unitary District,NA,NA
148,242,GBR,United Kingdom,3,Scotland,148,,East Lothian,West Berkshire,,Unitary District,Unitary District,NA,Haddington
149,242,GBR,United Kingdom,3,Scotland,149,,East Renfrewshire,West Midlands,,Unitary District,Unitary District,NA,NA
150,242,GBR,United Kingdom,3,Scotland,150,,Edinburgh,West Sussex,,Unitary District (city),Unitary District (city),NA,Édimbourg|Edimburgo
151,242,GBR,United Kingdom,3,Scotland,151,,Eilean Siar,Westminster,,Island Area,Island Area,NA,Western Isles
152,242,GBR,United Kingdom,3,Scotland,152,,Falkirk,Wigan,,Unitary District,Unitary District,NA,NA
153,242,GBR,United Kingdom,3,Scotland,153,,Fife,Wiltshire,,Unitary District,Unitary District,NA,NA
154,242,GBR,United Kingdom,3,Scotland,154,,Glasgow,Windsor and Maidenhead,,Unitary District (city),Unitary District (city),NA,Glasgow City
155,242,GBR,United Kingdom,3,Scotland,155,,Highland,Wirral,,Unitary District,Unitary District,NA,NA
156,242,GBR,United Kingdom,3,Scotland,156,,Inverclyde,Wokingham,,Unitary District,Unitary District,NA,NA
157,242,GBR,United Kingdom,3,Scotland,157,,Midlothian,Wolverhampton,,Unitary District,Unitary District,NA,Edinburgh
158,242,GBR,United Kingdom,3,Scotland,158,,Moray,Worcestershire,,Unitary District,Unitary District,NA,Elgin
159,242,GBR,United Kingdom,3,Scotland,159,,North Ayshire,York,,Unitary District,Unitary District,NA,NA
160,242,GBR,United Kingdom,3,Scotland,160,,North Lanarkshire,Yorkshire and The Humber,,Unitary District,Unitary District,NA,NA
161,242,GBR,United Kingdom,3,Scotland,161,,Orkney Islands,,,Island Area,Island Area,NA,Orcadas|Orcades|Orcadi|Orkneyöarna|Orknøyene
162,242,GBR,United Kingdom,3,Scotland,162,,Perthshire and Kinross,,,Unitary District,Unitary District,NA,Perth and Kinross
163,242,GBR,United Kingdom,3,Scotland,163,,Renfrewshire,,,Unitary District,Unitary District,NA,NA
164,242,GBR,United Kingdom,3,Scotland,164,,Scottish Borders,,,Unitary District,Unitary District,NA,The Borders
165,242,GBR,United Kingdom,3,Scotland,165,,Shetland Islands,,,Island Area,Island Area,NA,Zetland
166,242,GBR,United Kingdom,3,Scotland,166,,South Ayrshire,,,Unitary District,Unitary District,NA,NA
167,242,GBR,United Kingdom,3,Scotland,167,,South Lanarkshire,,,Unitary District,Unitary District,NA,NA
168,242,GBR,United Kingdom,3,Scotland,168,,Stirling,,,Unitary District,Unitary District,NA,NA
169,242,GBR,United Kingdom,3,Scotland,169,,West Dunbartonshire,,,Unitary District,Unitary District,NA,Dumbarton and Clydebank
170,242,GBR,United Kingdom,3,Scotland,170,,West Lothian,,,Unitary District,Unitary District,NA,Linlithgow
171,242,GBR,United Kingdom,4,Wales,171,,Anglesey,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
172,242,GBR,United Kingdom,4,Wales,172,,Blaenau Gwent,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
173,242,GBR,United Kingdom,4,Wales,173,,Bridgend,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
174,242,GBR,United Kingdom,4,Wales,174,,Caerphilly,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
175,242,GBR,United Kingdom,4,Wales,175,,Cardiff,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
176,242,GBR,United Kingdom,4,Wales,176,,Carmarthenshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
177,242,GBR,United Kingdom,4,Wales,177,,Ceredigion,,,Unitary Authority (wales),Unitary Authority (wales,NA,Cardiganshire
178,242,GBR,United Kingdom,4,Wales,178,,Conwy,,,Unitary Authority (wales),Unitary Authority (wales,NA,Aberconwy and Colwyn
179,242,GBR,United Kingdom,4,Wales,179,,Denbighshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
180,242,GBR,United Kingdom,4,Wales,180,,Flintshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
181,242,GBR,United Kingdom,4,Wales,181,,Gwynedd,,,Unitary Authority (wales),Unitary Authority (wales,NA,Caernarfonshire and Merionethshire
182,242,GBR,United Kingdom,4,Wales,182,,Merthyr Tydfil,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
183,242,GBR,United Kingdom,4,Wales,183,,Monmouthshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
184,242,GBR,United Kingdom,4,Wales,184,,Neath Port Talbot,,,Unitary Authority (wales),Unitary Authority (wales,NA,Neath and Port Talbot
185,242,GBR,United Kingdom,4,Wales,185,,Newport,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
186,242,GBR,United Kingdom,4,Wales,186,,Pembrokeshire,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
187,242,GBR,United Kingdom,4,Wales,187,,Powys,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
188,242,GBR,United Kingdom,4,Wales,188,,"Rhondda, Cynon, Taff",,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
189,242,GBR,United Kingdom,4,Wales,189,,Swansea,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
190,242,GBR,United Kingdom,4,Wales,190,,Torfaen,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
191,242,GBR,United Kingdom,4,Wales,191,,Vale of Glamorgan,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
192,242,GBR,United Kingdom,4,Wales,192,,Wrexham,,,Unitary Authority (wales),Unitary Authority (wales,NA,NA
